Stock,Date,Close/Last,Volume,Open,High,Low, 7 Day MA , 14 Day MA , 1 Month MA 
AAPL,7/11/25,$211.16 ,39765810,$210.57 ,$212.13 ,$209.86 , 211.52 , 207.08 , 203.88 
AAPL,7/10/25,$212.41 ,44443640,$210.51 ,$213.48 ,$210.03 , 211.05 , 206.35 , 203.44 
AAPL,7/9/25,$211.14 ,48749370,$209.53 ,$211.33 ,$207.22 , 210.01 , 205.22 , 203.05 
AAPL,7/8/25,$210.01 ,42848930,$210.10 ,$211.43 ,$208.45 , 208.57 , 204.11 , 202.72 
AAPL,7/7/25,$209.95 ,50228980,$212.68 ,$216.23 ,$208.80 , 207.29 , 203.29 , 202.37 
AAPL,7/3/25,$213.55 ,34955840,$212.15 ,$214.65 ,$211.81 , 206.09 , 202.32 , 201.99 
AAPL,7/2/25,$212.44 ,67941810,$208.91 ,$213.34 ,$208.14 , 204.20 , 201.30 , 201.43 
AAPL,7/1/25,$207.82 ,78788870,$206.67 ,$210.19 ,$206.14 , 202.63 , 200.32 , 200.92 
AAPL,6/30/25,$205.17 ,91912820,$202.01 ,$207.39 ,$199.26 , 201.66 , 199.95 , 200.61 
AAPL,6/27/25,$201.08 ,73188570,$201.89 ,$203.22 ,$200.00 , 200.43 , 199.69 , 200.19 
AAPL,6/26/25,$201.00 ,50799120,$201.43 ,$202.64 ,$199.46 , 199.65 , 199.89 , 200.21 
AAPL,6/25/25,$201.56 ,39525730,$201.45 ,$203.67 ,$200.62 , 199.29 , 199.86 , 200.25 
AAPL,6/24/25,$200.30 ,54064030,$202.59 ,$203.44 ,$200.20 , 198.56 , 199.95 , 200.47 
AAPL,6/23/25,$201.50 ,55814270,$201.63 ,$202.30 ,$198.96 , 198.40 , 200.17 , 200.83 
AAPL,6/20/25,$201.00 ,96813540,$198.24 ,$201.70 ,$196.86 , 198.01 , 200.18 , 201.23 
AAPL,6/18/25,$196.58 ,45394690,$195.94 ,$197.57 ,$195.07 , 198.25 , 200.17 , 201.67 
AAPL,6/17/25,$195.64 ,38856150,$197.20 ,$198.39 ,$195.21 , 198.94 , 200.41 , 202.32 
AAPL,6/16/25,$198.42 ,43020690,$197.30 ,$198.69 ,$196.56 , 200.13 , 200.75 , 203.04 
AAPL,6/13/25,$196.45 ,51447350,$199.73 ,$200.37 ,$195.70 , 200.44 , 200.88 , 203.56 
AAPL,6/12/25,$199.20 ,43904640,$199.08 ,$199.68 ,$197.36 , 201.35 , 200.80 , 203.65 
AAPL,6/11/25,$198.78 ,60989860,$203.50 ,$204.50 ,$198.41 , 201.93 , 200.95 , 203.58 
AAPL,6/10/25,$202.67 ,54672610,$200.60 ,$204.35 ,$200.57 , 202.35 , 201.19 , 203.47 
AAPL,6/9/25,$201.45 ,72862560,$204.39 ,$206.00 ,$200.02 , 202.09 , 201.49 , 203.30 
AAPL,6/6/25,$203.92 ,46607690,$203.00 ,$205.70 ,$202.05 , 201.88 , 202.01 , 203.19 
AAPL,6/5/25,$200.63 ,55221240,$203.50 ,$204.75 ,$200.15 , 201.38 , 202.53 , 203.25 
AAPL,6/4/25,$202.82 ,43603990,$202.91 ,$206.24 ,$202.10 , 201.32 , 203.31 , 203.78 
AAPL,6/3/25,$203.27 ,46381570,$201.35 ,$203.77 ,$200.96 , 200.24 , 203.99 , 204.18 
AAPL,6/2/25,$201.70 ,35423290,$200.28 ,$202.13 ,$200.12 , 199.97 , 204.68 , 204.51 
AAPL,5/30/25,$200.85 ,70819940,$199.37 ,$201.96 ,$196.78 , 200.02 , 205.33 , 204.86 
AAPL,5/29/25,$199.95 ,51477940,$203.58 ,$203.81 ,$198.51 , 200.88 , 205.16 , 205.22 
AAPL,5/28/25,$200.42 ,45339680,$200.59 ,$202.73 ,$199.90 , 202.14 , 204.98 , 205.57 
AAPL,5/27/25,$200.21 ,56288480,$198.30 ,$200.74 ,$197.43 , 203.69 , 204.69 , 205.74 
AAPL,5/23/25,$195.27 ,78432920,$193.67 ,$197.70 ,$193.46 , 205.30 , 204.56 , 205.72 
AAPL,5/22/25,$201.36 ,46742410,$200.71 ,$202.75 ,$199.70 , 207.73 , 204.82 , 205.63 
AAPL,5/21/25,$202.09 ,59211770,$205.17 ,$207.04 ,$200.71 , 209.39 , 205.11 , 205.45 
AAPL,5/20/25,$206.86 ,42496640,$207.67 ,$208.47 ,$205.03 , 210.63 , 205.91 , 205.12 
AAPL,5/19/25,$208.78 ,46140530,$207.91 ,$209.48 ,$204.26 , 209.44 , 206.31 , 204.93 
AAPL,5/16/25,$211.26 ,54737850,$212.36 ,$212.57 ,$209.77 , 207.83 , 206.49 , 204.67 
AAPL,5/15/25,$211.45 ,45029470,$210.95 ,$212.96 ,$209.54 , 205.68 , 206.41 , 204.12 
AAPL,5/14/25,$212.33 ,49325830,$212.43 ,$213.94 ,$210.58 , 203.83 , 206.25 , 203.24 
AAPL,5/13/25,$212.93 ,51909330,$210.43 ,$213.40 ,$209.00 , 201.91 , 205.97 , 202.68 
AAPL,5/12/25,$210.79 ,63775810,$210.97 ,$211.27 ,$206.75 , 200.83 , 205.37 , 201.00 
AAPL,5/9/25,$198.53 ,36453920,$199.00 ,$200.54 ,$197.54 , 201.19 , 204.58 , 199.77 
AAPL,5/8/25,$197.49 ,50478870,$197.72 ,$200.05 ,$194.68 , 203.19 , 204.20 , 199.35 
AAPL,5/7/25,$196.25 ,68616940,$199.17 ,$199.44 ,$193.25 , 205.15 , 204.16 , 199.59 
AAPL,5/6/25,$198.51 ,51216480,$198.21 ,$200.65 ,$197.02 , 207.13 , 204.02 , 200.74 
AAPL,5/5/25,$198.89 ,69018450,$203.10 ,$204.10 ,$198.21 , 208.67 , 204.28 , 201.77 
AAPL,5/2/25,$205.35 ,101010600,$206.09 ,$206.99 ,$202.16 , 210.02 , 204.54 , 202.74 
AAPL,5/1/25,$213.32 ,57365680,$209.08 ,$214.56 ,$208.90 , 209.92 , 204.03 , 203.26 
AAPL,4/30/25,$212.50 ,52286450,$209.30 ,$213.58 ,$206.67 , 207.98 , 202.39 , 203.70 
AAPL,4/29/25,$211.21 ,36827630,$208.69 ,$212.24 ,$208.37 , 205.21 , 201.42 , 204.07 
AAPL,4/28/25,$210.14 ,38743070,$210.00 ,$211.50 ,$207.46 , 203.18 , 198.65 , 204.60 
AAPL,4/25/25,$209.28 ,38222260,$206.37 ,$209.75 ,$206.20 , 200.91 , 196.60 , 205.04 
AAPL,4/24/25,$208.37 ,47310990,$204.89 ,$208.83 ,$202.94 , 199.89 , 195.10 , 205.41 
AAPL,4/23/25,$204.60 ,52929170,$206.00 ,$208.00 ,$202.80 , 199.06 , 194.73 , 205.65 
AAPL,4/22/25,$199.74 ,52976370,$196.12 ,$201.59 ,$195.97 , 198.14 , 196.11 , 206.09 
AAPL,4/21/25,$193.16 ,46742540,$193.27 ,$193.80 ,$189.81 , 196.81 , 197.79 , 206.63 
AAPL,4/17/25,$196.98 ,52164680,$197.20 ,$198.83 ,$194.42 , 197.62 , 199.86 , 207.50 
AAPL,4/16/25,$194.27 ,59732420,$198.36 ,$200.70 ,$192.37 , 194.11 , 201.35 , 208.19 
AAPL,4/15/25,$202.14 ,51343870,$201.86 ,$203.51 ,$199.80 , 192.28 , 203.46 , 208.83 
AAPL,4/14/25,$202.52 ,101352900,$211.44 ,$212.94 ,$201.16 , 190.31 , 204.85 , 209.45 
AAPL,4/11/25,$198.15 ,87435920,$186.10 ,$199.54 ,$186.06 , 190.41 , 206.37 , 210.21 
AAPL,4/10/25,$190.42 ,121880000,$189.07 ,$194.78 ,$183.00 , 194.09 , 207.98 , 211.44 
AAPL,4/9/25,$198.85 ,184395900,$171.95 ,$200.61 ,$171.89 , 198.77 , 209.97 , 213.46 
AAPL,4/8/25,$172.42 ,120859500,$186.70 ,$190.34 ,$169.21 , 202.09 , 211.06 , 214.98 
AAPL,4/7/25,$181.46 ,160466300,$177.20 ,$194.15 ,$174.62 , 208.59 , 214.12 , 217.62 
AAPL,4/4/25,$188.38 ,125910900,$193.89 ,$199.88 ,$187.34 , 214.65 , 216.35 , 219.89 
AAPL,4/3/25,$203.19 ,103419000,$205.54 ,$207.49 ,$201.25 , 219.38 , 218.18 , 221.96 
AAPL,4/2/25,$223.89 ,35905900,$221.32 ,$225.19 ,$221.02 , 222.32 , 218.91 , 223.57 
AAPL,4/1/25,$223.19 ,36412740,$219.81 ,$223.68 ,$218.90 , 221.87 , 217.90 , 224.13 
AAPL,3/31/25,$222.13 ,65299320,$217.01 ,$225.62 ,$216.23 , 221.17 , 217.45 , 224.84 
AAPL,3/28/25,$217.90 ,39818620,$221.67 ,$223.81 ,$217.68 , 220.02 , 217.36 , 225.88 
AAPL,3/27/25,$223.85 ,37094770,$221.39 ,$224.99 ,$220.56 , 219.64 , 218.05 , 227.10 
AAPL,3/26/25,$221.53 ,34532660,$223.51 ,$225.02 ,$220.47 , 218.04 , 219.13 , 228.00 
AAPL,3/25/25,$223.75 ,34493580,$220.77 ,$224.10 ,$220.08 , 216.97 , 220.12 , 229.02 
AAPL,3/24/25,$220.73 ,44299480,$221.00 ,$221.48 ,$218.58 , 215.50 , 220.97 , 229.90 
AAPL,3/21/25,$218.27 ,94127770,$211.56 ,$218.84 ,$211.28 , 213.92 , 222.06 , 230.88 
AAPL,3/20/25,$214.10 ,48862950,$213.99 ,$217.49 ,$212.22 , 213.74 , 223.47 , 231.98 
AAPL,3/19/25,$215.24 ,54385390,$214.22 ,$218.76 ,$213.75 , 214.70 , 225.45 , 233.12 
AAPL,3/18/25,$212.69 ,42432430,$214.16 ,$215.15 ,$211.49 , 216.45 , 227.03 , 234.03 
AAPL,3/17/25,$214.00 ,48073430,$213.31 ,$215.22 ,$209.97 , 220.22 , 229.01 , 234.86 
AAPL,3/14/25,$213.49 ,60107580,$211.25 ,$213.95 ,$209.58 , 223.27 , 231.37 , 235.43 
AAPL,3/13/25,$209.68 ,61368330,$215.95 ,$216.84 ,$208.42 , 226.45 , 233.77 , 236.01 
AAPL,3/12/25,$216.98 ,62547470,$220.14 ,$221.75 ,$214.91 , 230.20 , 236.33 , 237.00 
AAPL,3/11/25,$220.84 ,76137410,$223.81 ,$225.84 ,$217.45 , 233.20 , 238.39 , 237.64 
AAPL,3/10/25,$227.48 ,72071200,$235.54 ,$236.16 ,$224.22 , 236.20 , 240.11 , 238.14 
AAPL,3/7/25,$239.07 ,46273570,$235.11 ,$241.37 ,$234.76 , 237.61 , 241.32 , 238.16 
AAPL,3/6/25,$235.33 ,45170420,$234.44 ,$237.86 ,$233.16 , 237.79 , 241.71 , 238.03 
AAPL,3/5/25,$235.74 ,47227640,$235.42 ,$236.55 ,$229.23 , 239.46 , 242.16 , 238.13 
AAPL,3/4/25,$235.93 ,53798060,$237.71 ,$240.07 ,$234.68 , 241.09 , 242.24 , 238.28 
AAPL,3/3/25,$238.03 ,47183990,$241.79 ,$244.03 ,$236.11 , 242.46 , 242.00 , 238.38 
AAPL,2/28/25,$241.84 ,56833360,$236.95 ,$242.09 ,$230.20 , 243.57 , 241.26 , 238.03 
AAPL,2/27/25,$237.30 ,41153640,$239.41 ,$242.46 ,$237.06 , 244.01 , 240.24 , 237.24 
AAPL,2/26/25,$240.36 ,44433560,$244.33 ,$244.98 ,$239.13 , 245.03 , 239.95 , 236.67 
